Education;Income;Recency;Wines;Fruits;Meat;Fish;Sweets;Gold;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Age;Customer_for;Spent;Dependents;Partner;TotalAcceptedCmp;TotalPurchases
Graduate;10979.0;34;8.0;4.0;10.0;2.0;2.0;4.0;2;3;0;3;5;0;0;0;0;0;0;0;25;6;30.0;0;0;0;6
Graduate;38620.0;56;112.0;17.0;44.0;34.0;22.0;89.0;1;2;5;3;3;0;0;0;0;0;0;0;51;13;318.0;0;1;0;10
Undergraduate;40548.0;31;110.0;0.0;5.0;2.0;0.0;3.0;2;2;1;4;5;0;1;0;0;0;0;0;44;26;120.0;1;1;1;7
Graduate;46610.0;8;96.0;12.0;96.0;33.0;22.0;43.0;6;4;1;6;6;0;0;0;0;0;0;1;62;25;302.0;2;0;0;11
Graduate;68657.0;4;482.0;34.0;471.0;119.0;68.0;22.0;1;3;5;9;7;0;0;0;0;0;0;0;68;21;1196.0;0;1;0;17
Graduate;49389.0;55;40.0;0.0;19.0;2.0;1.0;3.0;1;2;0;3;7;0;0;0;0;0;0;0;63;15;65.0;2;0;0;5
Graduate;67353.0;37;702.0;17.0;151.0;0.0;8.0;35.0;5;5;6;12;2;0;0;0;0;0;0;0;44;11;913.0;1;1;0;23
Undergraduate;23718.0;76;6.0;3.0;14.0;15.0;7.0;36.0;3;3;1;2;7;0;0;0;0;0;0;0;38;22;81.0;1;1;0;6
Undergraduate;42429.0;99;55.0;0.0;6.0;2.0;0.0;4.0;2;1;1;3;5;0;0;0;0;0;0;0;41;1;67.0;1;0;0;5
Graduate;48948.0;53;437.0;8.0;206.0;160.0;49.0;42.0;2;7;10;5;6;1;0;0;0;0;0;1;71;23;902.0;0;0;1;22
Undergraduate;80011.0;3;421.0;76.0;536.0;82.0;178.0;102.0;2;8;6;5;4;0;0;0;0;0;0;0;34;19;1395.0;1;1;0;19
Graduate;20559.0;88;13.0;1.0;29.0;3.0;0.0;7.0;2;2;0;3;8;0;0;0;0;0;0;0;29;12;53.0;1;1;0;5
Undergraduate;21994.0;4;9.0;0.0;6.0;3.0;1.0;3.0;1;0;0;3;5;0;0;0;0;0;0;0;57;23;22.0;1;1;0;3
Graduate;7500.0;19;3.0;1.0;10.0;3.0;2.0;12.0;3;2;0;3;5;0;0;0;0;0;0;0;39;22;31.0;1;1;0;5
Undergraduate;79941.0;72;123.0;164.0;266.0;227.0;30.0;174.0;1;2;4;9;1;0;0;0;0;0;0;0;38;5;984.0;0;0;0;15
Undergraduate;7500.0;24;3.0;18.0;14.0;15.0;22.0;50.0;3;3;1;3;9;0;0;0;0;0;0;1;18;27;122.0;0;1;0;7
Undergraduate;41728.0;92;13.0;6.0;15.0;3.0;5.0;13.0;1;2;0;2;10;0;0;0;0;0;0;0;46;18;55.0;1;1;0;4
Graduate;72550.0;39;826.0;50.0;317.0;50.0;38.0;38.0;9;5;2;12;8;0;0;0;0;0;0;0;60;28;1319.0;2;1;0;19
Undergraduate;65486.0;29;245.0;19.0;125.0;37.0;67.0;14.0;1;4;2;10;2;0;0;0;0;0;0;0;57;0;507.0;1;0;0;16
Graduate;79143.0;2;650.0;37.0;780.0;27.0;167.0;32.0;1;6;9;13;3;0;0;0;0;0;0;0;50;25;1693.0;0;1;0;28
Undergraduate;35790.0;54;12.0;6.0;20.0;30.0;1.0;3.0;2;2;0;3;7;0;0;0;0;0;0;0;37;22;72.0;1;0;0;5
Undergraduate;82582.0;54;510.0;120.0;550.0;156.0;40.0;241.0;1;4;9;7;1;1;0;0;1;0;0;1;37;5;1617.0;0;0;2;20
Undergraduate;66373.0;57;328.0;9.0;124.0;12.0;24.0;109.0;7;4;2;10;3;0;0;0;0;0;0;0;36;12;606.0;2;1;0;16
Graduate;82384.0;55;984.0;51.0;432.0;180.0;120.0;190.0;1;3;10;13;1;0;0;1;0;0;0;1;59;24;1957.0;0;1;1;26
Undergraduate;70287.0;30;295.0;35.0;482.0;121.0;120.0;40.0;1;5;5;10;3;0;0;0;0;0;0;1;48;22;1093.0;0;0;0;20
Undergraduate;27938.0;31;13.0;0.0;8.0;2.0;1.0;5.0;1;1;0;4;3;0;0;0;0;0;0;0;26;7;29.0;1;0;0;5
Graduate;55954.0;63;447.0;0.0;28.0;0.0;0.0;43.0;3;8;2;6;7;0;0;0;0;0;0;0;46;9;518.0;1;1;0;16
Graduate;75777.0;12;712.0;26.0;538.0;69.0;13.0;80.0;1;3;6;11;1;0;1;1;0;0;0;1;32;20;1438.0;0;0;2;20
Undergraduate;66653.0;18;452.0;18.0;102.0;16.0;18.0;6.0;4;4;2;12;3;0;0;0;0;0;0;0;39;29;612.0;2;1;0;18
Undergraduate;61823.0;26;523.0;7.0;134.0;37.0;14.0;169.0;4;8;2;10;7;0;0;0;0;0;0;0;62;21;884.0;1;0;0;20
Graduate;67680.0;8;546.0;0.0;48.0;0.0;6.0;6.0;1;7;3;8;5;0;0;0;0;0;0;0;63;13;606.0;1;0;0;18
Undergraduate;70666.0;29;398.0;40.0;367.0;119.0;122.0;30.0;1;7;4;4;4;0;0;0;0;0;0;0;66;18;1076.0;0;1;0;15
Undergraduate;25721.0;75;1.0;3.0;6.0;3.0;6.0;15.0;1;1;1;2;7;0;0;0;0;0;0;1;43;18;34.0;1;1;0;4
Undergraduate;32474.0;0;10.0;0.0;1.0;0.0;0.0;0.0;1;1;0;2;7;0;0;0;0;0;0;0;47;1;11.0;2;1;0;3
Undergraduate;88194.0;19;688.0;14.0;309.0;201.0;24.0;38.0;1;11;10;10;5;1;0;0;1;0;0;1;35;8;1274.0;1;0;2;31
Undergraduate;69096.0;4;247.0;49.0;159.0;7.0;82.0;109.0;1;5;2;10;4;0;0;0;0;0;0;0;56;14;653.0;1;1;0;17
Undergraduate;74854.0;90;856.0;59.0;487.0;58.0;29.0;73.0;7;2;5;5;5;0;0;0;0;0;0;0;44;16;1562.0;3;1;0;12
Graduate;66991.0;1;496.0;36.0;460.0;189.0;60.0;12.0;3;4;8;6;3;0;0;0;0;0;0;0;60;25;1253.0;0;1;0;18
Undergraduate;65031.0;29;258.0;107.0;291.0;84.0;37.0;86.0;4;10;3;13;7;0;0;0;0;0;0;0;55;20;863.0;1;1;0;26
Graduate;60631.0;88;565.0;6.0;65.0;0.0;6.0;19.0;5;9;2;8;7;0;1;0;0;0;0;0;39;19;661.0;2;1;1;19
Undergraduate;28332.0;58;14.0;10.0;13.0;4.0;15.0;9.0;1;2;1;4;2;0;0;0;0;0;0;0;62;7;65.0;0;1;0;7
Undergraduate;40246.0;68;2.0;1.0;6.0;2.0;1.0;1.0;1;1;0;2;6;0;0;0;0;0;0;0;37;23;13.0;1;0;0;3
Graduate;75251.0;34;721.0;111.0;925.0;97.0;18.0;18.0;1;7;6;5;5;0;0;0;0;0;0;1;42;27;1890.0;0;1;0;18
Undergraduate;75825.0;40;1032.0;105.0;779.0;137.0;105.0;51.0;0;5;8;9;4;1;0;0;0;0;0;1;38;24;2209.0;0;0;1;22
Undergraduate;26326.0;12;1.0;0.0;5.0;0.0;3.0;9.0;1;0;0;3;3;0;0;0;0;0;1;0;38;20;18.0;0;1;0;3
Undergraduate;56046.0;9;577.0;0.0;64.0;0.0;0.0;51.0;2;10;1;8;8;1;0;0;0;0;0;1;49;22;692.0;0;1;1;19
Undergraduate;29760.0;87;64.0;4.0;68.0;7.0;5.0;17.0;4;3;1;4;8;0;0;0;0;0;0;0;29;27;165.0;1;0;0;8
Undergraduate;26304.0;5;4.0;1.0;5.0;2.0;0.0;4.0;1;1;0;2;7;0;0;0;0;0;0;0;45;17;16.0;1;1;0;3
Undergraduate;23559.0;87;25.0;5.0;19.0;7.0;0.0;23.0;3;3;0;3;7;0;0;0;0;0;0;0;41;21;79.0;1;1;0;6
Graduate;38620.0;56;112.0;17.0;44.0;34.0;22.0;89.0;1;2;5;3;3;0;0;0;0;0;0;0;51;13;318.0;0;1;0;10
Undergraduate;81361.0;18;163.0;23.0;424.0;27.0;65.0;76.0;1;3;10;13;1;0;0;0;0;0;0;0;27;9;778.0;0;0;0;26
Undergraduate;29440.0;95;17.0;8.0;14.0;10.0;4.0;3.0;2;1;0;4;7;0;0;0;0;0;0;0;54;13;56.0;2;1;0;5
Graduate;36138.0;48;130.0;0.0;16.0;0.0;0.0;5.0;5;3;1;4;7;0;1;0;0;0;0;0;44;16;151.0;2;1;1;8
Undergraduate;50388.0;3;292.0;6.0;37.0;0.0;3.0;34.0;4;6;1;6;7;0;1;0;1;0;0;1;57;6;372.0;1;0;2;13
Undergraduate;79593.0;70;350.0;60.0;568.0;110.0;133.0;145.0;1;5;6;7;2;0;0;1;0;0;0;0;41;0;1366.0;0;1;1;18
Undergraduate;54178.0;79;135.0;9.0;39.0;4.0;0.0;7.0;1;2;2;5;2;0;0;0;0;0;0;0;47;10;194.0;1;1;0;9
Graduate;42394.0;69;15.0;2.0;10.0;0.0;1.0;4.0;1;1;0;3;7;0;0;0;0;0;0;0;42;8;32.0;1;0;0;4
Graduate;23626.0;84;27.0;2.0;14.0;0.0;0.0;0.0;3;3;1;3;5;0;0;0;0;0;0;0;44;6;43.0;1;1;0;7
Undergraduate;30096.0;30;5.0;3.0;11.0;12.0;5.0;9.0;1;2;0;3;6;0;0;0;0;0;0;0;31;6;45.0;1;1;0;5
Undergraduate;47916.0;72;505.0;0.0;26.0;0.0;0.0;75.0;5;7;4;6;6;0;1;0;0;0;0;0;54;24;606.0;1;0;1;17
Undergraduate;51813.0;37;51.0;2.0;7.0;0.0;1.0;2.0;2;2;0;3;7;0;0;0;0;0;0;0;42;13;63.0;2;0;0;5
Undergraduate;78497.0;44;207.0;26.0;447.0;75.0;0.0;223.0;1;5;7;12;2;0;0;0;1;0;0;0;63;23;978.0;0;1;1;24
Graduate;50150.0;32;135.0;46.0;92.0;65.0;61.0;11.0;2;5;2;7;5;0;0;0;0;0;0;0;31;17;410.0;0;1;0;14
Undergraduate;47823.0;0;53.0;1.0;5.0;2.0;1.0;10.0;2;2;0;3;8;0;0;0;0;0;0;0;54;16;72.0;1;0;0;5
Graduate;34554.0;43;41.0;1.0;6.0;2.0;0.0;5.0;2;2;0;3;6;0;0;0;0;0;0;0;55;8;55.0;1;0;0;5
Undergraduate;85693.0;59;386.0;172.0;183.0;185.0;132.0;111.0;2;9;5;11;5;0;0;0;0;0;0;0;35;19;1169.0;1;1;0;25
Graduate;65846.0;68;562.0;81.0;276.0;80.0;40.0;81.0;1;6;3;6;4;0;0;0;0;0;0;0;69;18;1120.0;0;1;0;15
Undergraduate;87195.0;35;217.0;76.0;690.0;50.0;26.0;38.0;1;3;11;5;1;0;0;0;0;0;0;1;55;4;1097.0;0;1;0;19
Basic;24594.0;94;1.0;3.0;6.0;10.0;0.0;9.0;1;1;0;3;5;0;0;0;0;0;0;0;35;14;29.0;1;1;0;4
Undergraduate;49096.0;15;144.0;1.0;32.0;2.0;1.0;7.0;4;4;1;4;7;0;0;0;0;0;0;0;50;14;187.0;2;1;0;9
Undergraduate;52413.0;56;295.0;106.0;271.0;75.0;98.0;65.0;4;6;4;12;6;0;0;0;0;0;0;0;45;22;910.0;2;1;0;22
Undergraduate;38557.0;17;76.0;3.0;31.0;4.0;4.0;27.0;2;3;1;3;7;0;0;0;0;0;0;0;36;23;145.0;1;0;0;7
Graduate;89058.0;18;454.0;194.0;106.0;31.0;22.0;43.0;1;5;4;4;2;0;0;0;0;0;0;0;54;29;850.0;0;1;0;13
Undergraduate;77298.0;46;425.0;115.0;292.0;23.0;35.0;79.0;1;6;6;11;3;0;0;0;0;0;0;0;35;22;969.0;1;1;0;23
Graduate;68126.0;40;1332.0;17.0;311.0;23.0;51.0;86.0;1;7;4;5;9;0;1;0;0;0;0;1;23;26;1820.0;0;0;1;16
Graduate;57288.0;27;527.0;0.0;21.0;0.0;0.0;60.0;3;8;1;8;6;0;1;0;0;0;0;0;51;5;608.0;1;1;1;17
Undergraduate;86037.0;95;490.0;44.0;125.0;29.0;20.0;22.0;1;6;7;11;3;0;1;1;0;0;0;1;23;22;730.0;0;0;2;24
Graduate;43974.0;19;378.0;0.0;101.0;0.0;0.0;72.0;5;6;4;6;7;0;0;0;0;0;0;0;34;24;551.0;1;1;0;16
Undergraduate;50785.0;27;64.0;1.0;21.0;0.0;1.0;27.0;2;2;1;3;6;0;0;0;0;0;0;0;52;14;114.0;2;0;0;6
Undergraduate;90765.0;25;547.0;99.0;812.0;151.0;82.0;33.0;0;4;6;5;1;0;0;1;1;0;0;0;44;10;1724.0;0;1;2;15
Undergraduate;36550.0;74;47.0;90.0;94.0;123.0;103.0;120.0;5;9;1;5;9;0;0;0;0;0;0;0;36;21;577.0;1;1;0;15
Undergraduate;30753.0;85;12.0;5.0;25.0;0.0;9.0;30.0;2;1;1;3;5;0;0;0;0;0;0;0;47;13;81.0;2;1;0;5
Undergraduate;21918.0;37;1.0;6.0;7.0;11.0;5.0;3.0;2;2;0;3;6;0;0;0;0;0;0;0;45;12;33.0;1;1;0;5
Graduate;56129.0;65;320.0;48.0;133.0;39.0;72.0;48.0;4;6;2;10;4;0;0;0;0;0;0;0;61;17;660.0;1;1;0;18
Graduate;32557.0;13;34.0;3.0;29.0;0.0;4.0;10.0;3;2;1;3;5;0;0;0;0;0;0;1;47;9;80.0;1;0;0;6
Graduate;19510.0;63;9.0;0.0;7.0;3.0;4.0;7.0;2;1;0;3;7;0;0;0;0;0;0;0;29;20;30.0;2;1;0;4
Undergraduate;30992.0;83;17.0;0.0;14.0;7.0;3.0;2.0;1;1;0;3;7;0;0;0;0;0;0;0;38;19;43.0;1;0;0;4
Undergraduate;101970.0;69;722.0;27.0;102.0;44.0;72.0;168.0;0;6;8;13;2;0;1;1;1;0;0;1;31;12;1135.0;0;0;3;27
Undergraduate;71488.0;87;162.0;33.0;124.0;40.0;28.0;172.0;2;3;4;7;1;0;0;0;0;0;0;0;49;21;559.0;0;1;0;14
Undergraduate;79607.0;37;450.0;133.0;951.0;173.0;0.0;216.0;1;3;6;6;1;0;0;0;0;0;0;1;30;19;1923.0;0;0;0;15
Graduate;54348.0;51;70.0;0.0;16.0;0.0;0.0;4.0;2;2;0;4;6;0;0;0;0;0;0;0;61;4;90.0;2;1;0;6
Graduate;77376.0;72;492.0;19.0;110.0;16.0;12.0;12.0;4;6;3;10;4;0;0;0;0;0;0;0;58;2;661.0;2;1;0;19
Undergraduate;62998.0;10;120.0;58.0;73.0;65.0;89.0;58.0;5;5;4;5;5;0;0;0;0;0;0;0;62;14;463.0;1;1;0;14
Graduate;61331.0;42;534.0;5.0;47.0;0.0;5.0;41.0;5;11;1;6;8;0;0;0;0;0;0;0;56;14;632.0;2;0;0;18
Undergraduate;73448.0;10;236.0;106.0;189.0;23.0;41.0;130.0;1;7;2;9;4;0;0;0;0;0;0;0;45;2;725.0;0;1;0;18
Graduate;41551.0;51;220.0;0.0;33.0;3.0;0.0;23.0;5;5;1;5;8;0;0;0;0;0;0;0;50;15;279.0;2;1;0;11
Graduate;62981.0;21;796.0;14.0;590.0;38.0;44.0;0.0;1;4;5;13;3;0;1;0;0;0;0;0;47;20;1482.0;0;1;1;22
Basic;9548.0;31;0.0;1.0;3.0;10.0;6.0;9.0;2;1;0;3;8;0;0;0;0;0;0;0;38;28;29.0;1;0;0;4
Graduate;33762.0;61;53.0;1.0;34.0;2.0;0.0;16.0;3;2;2;2;8;0;0;0;0;0;0;0;55;17;106.0;3;1;0;6
Graduate;35860.0;37;15.0;0.0;8.0;4.0;2.0;20.0;2;1;1;2;5;1;0;0;0;0;0;1;41;6;49.0;2;0;1;4
Graduate;36921.0;74;17.0;1.0;12.0;3.0;1.0;4.0;2;2;0;3;7;0;0;0;0;0;0;0;49;16;38.0;2;0;0;5
Graduate;92859.0;46;962.0;61.0;921.0;52.0;61.0;20.0;1;5;4;12;2;0;0;0;0;0;0;0;22;25;2077.0;0;0;0;21
Graduate;65104.0;4;738.0;0.0;232.0;13.0;20.0;50.0;2;3;5;7;7;0;0;0;0;0;0;1;38;12;1053.0;1;1;0;15
Undergraduate;86111.0;73;399.0;28.0;756.0;36.0;40.0;126.0;1;5;7;10;2;0;0;0;0;0;0;0;52;19;1385.0;0;1;0;22
Graduate;68352.0;47;614.0;16.0;132.0;43.0;33.0;33.0;3;8;5;9;6;0;0;0;0;0;0;0;40;15;871.0;1;0;0;22
Undergraduate;41883.0;13;32.0;34.0;41.0;73.0;16.0;116.0;3;4;2;3;7;0;0;0;0;0;0;0;26;20;312.0;1;1;0;9
Undergraduate;59809.0;36;598.0;16.0;141.0;32.0;41.0;49.0;3;3;3;6;8;0;0;0;0;0;0;0;38;25;877.0;2;1;0;12
Undergraduate;23957.0;47;2.0;1.0;18.0;20.0;11.0;16.0;1;2;0;3;6;0;0;0;0;0;0;1;39;25;68.0;1;1;0;5
Undergraduate;38547.0;49;6.0;1.0;10.0;0.0;1.0;4.0;1;1;0;2;8;0;0;0;0;0;1;0;33;15;22.0;1;1;0;3
Undergraduate;35688.0;94;73.0;3.0;90.0;12.0;1.0;32.0;7;4;1;4;8;0;0;0;0;0;0;0;41;27;211.0;3;1;0;9
Graduate;49605.0;65;42.0;16.0;29.0;12.0;20.0;8.0;1;2;1;4;3;0;0;0;0;0;0;0;48;5;127.0;0;1;0;7
Graduate;59354.0;59;295.0;21.0;78.0;39.0;13.0;13.0;1;4;4;7;3;0;0;0;0;0;0;0;61;7;459.0;2;1;0;15
Undergraduate;65747.0;96;346.0;17.0;48.0;23.0;13.0;13.0;4;8;1;6;6;0;1;0;0;0;0;0;45;5;460.0;1;1;1;15
Undergraduate;46344.0;28;233.0;20.0;57.0;8.0;20.0;91.0;4;7;1;5;7;0;0;0;0;0;0;0;42;24;429.0;1;1;0;13
Undergraduate;34176.0;12;5.0;7.0;24.0;19.0;14.0;20.0;4;3;0;4;6;0;0;0;0;0;0;0;26;0;89.0;1;0;0;7
Graduate;61010.0;57;888.0;0.0;57.0;0.0;0.0;76.0;2;8;5;11;5;0;0;0;0;0;0;0;62;27;1021.0;1;1;0;24
Undergraduate;69372.0;10;997.0;26.0;269.0;34.0;13.0;42.0;1;10;4;6;4;0;1;1;0;0;0;1;65;21;1381.0;0;1;2;20
Undergraduate;49967.0;4;212.0;6.0;69.0;4.0;12.0;3.0;3;6;1;5;7;0;0;0;0;0;0;0;56;16;306.0;1;0;0;12
Undergraduate;60199.0;49;8.0;1.0;7.0;2.0;0.0;0.0;1;0;0;3;4;0;0;0;0;0;0;0;36;12;18.0;3;0;0;3
Undergraduate;55375.0;3;42.0;11.0;57.0;10.0;28.0;14.0;1;1;1;6;2;0;0;0;0;0;0;0;37;13;162.0;1;1;0;8
Undergraduate;80317.0;64;536.0;11.0;387.0;149.0;91.0;57.0;1;3;4;10;1;0;0;0;0;0;0;0;59;15;1231.0;0;0;0;17
Graduate;30523.0;0;5.0;0.0;3.0;0.0;0.0;5.0;1;1;0;2;7;0;0;0;0;0;0;0;56;23;13.0;3;0;0;3
Graduate;70356.0;20;1349.0;16.0;249.0;43.0;16.0;33.0;2;10;6;9;6;0;0;0;0;0;0;0;69;31;1706.0;0;1;0;25
Undergraduate;23228.0;91;53.0;3.0;49.0;7.0;4.0;5.0;4;3;0;4;8;0;0;0;0;0;0;0;30;7;121.0;1;1;0;7
Graduate;74165.0;9;1001.0;12.0;240.0;16.0;12.0;12.0;1;5;4;10;2;0;0;0;0;0;0;0;39;23;1293.0;0;0;0;19
Graduate;157243.0;98;20.0;2.0;1582.0;1.0;2.0;1.0;15;0;22;0;0;0;0;0;0;0;0;0;41;11;1608.0;1;1;0;22
Undergraduate;43482.0;83;18.0;1.0;32.0;6.0;3.0;28.0;3;2;0;4;6;0;0;0;0;0;0;0;48;12;88.0;3;1;0;6
Undergraduate;62551.0;27;125.0;16.0;98.0;134.0;21.0;27.0;1;6;7;4;3;1;0;0;0;0;0;0;61;12;421.0;0;0;1;17
Undergraduate;52332.0;63;212.0;5.0;33.0;7.0;0.0;2.0;1;3;2;6;4;0;1;0;0;0;0;0;55;15;259.0;0;0;1;11
Undergraduate;66951.0;46;277.0;162.0;305.0;173.0;76.0;124.0;1;3;4;7;1;0;0;0;0;0;0;0;26;22;1117.0;0;0;0;14
Undergraduate;26091.0;84;15.0;10.0;19.0;8.0;17.0;20.0;3;2;1;3;5;0;0;0;0;0;0;0;57;9;89.0;2;1;0;6
Undergraduate;33456.0;58;7.0;3.0;10.0;8.0;1.0;7.0;2;1;0;3;7;0;0;0;0;0;0;0;49;7;36.0;2;1;0;4
Undergraduate;28718.0;78;12.0;4.0;6.0;11.0;8.0;16.0;2;2;0;3;8;0;0;0;0;0;0;0;32;17;57.0;1;1;0;5
Undergraduate;50447.0;4;85.0;7.0;24.0;2.0;3.0;27.0;1;3;1;3;6;0;0;0;0;0;0;0;44;7;148.0;2;1;0;7
Graduate;53537.0;17;81.0;0.0;6.0;0.0;0.0;6.0;2;2;1;3;5;0;0;0;0;0;0;0;55;10;93.0;2;1;0;6
Undergraduate;52074.0;77;59.0;0.0;12.0;0.0;0.0;48.0;1;2;2;2;4;1;0;0;0;0;0;0;47;8;119.0;1;0;1;6
Graduate;80427.0;56;1149.0;71.0;449.0;69.0;71.0;26.0;1;11;8;8;5;0;0;0;0;0;0;0;39;24;1835.0;1;1;0;27
Graduate;83837.0;79;847.0;66.0;119.0;86.0;89.0;111.0;1;9;10;5;4;0;1;0;1;0;0;1;66;24;1318.0;0;1;2;24
Graduate;38853.0;90;29.0;0.0;14.0;0.0;0.0;2.0;2;2;0;3;7;0;0;0;0;0;0;0;44;6;45.0;2;1;0;5
Undergraduate;38285.0;96;2.0;0.0;5.0;2.0;0.0;1.0;1;0;0;3;2;0;0;0;0;0;0;0;55;5;10.0;3;1;0;3
Undergraduate;78497.0;44;207.0;26.0;447.0;75.0;0.0;223.0;1;5;7;12;2;0;0;0;1;0;0;0;63;23;978.0;0;1;1;24
Graduate;51650.0;81;152.0;3.0;22.0;2.0;5.0;7.0;1;4;1;4;5;0;0;0;0;0;0;0;38;1;191.0;1;1;0;9
Undergraduate;16248.0;77;12.0;11.0;10.0;3.0;12.0;9.0;3;2;1;3;6;0;0;0;0;0;0;0;26;2;57.0;1;1;0;6
Graduate;66835.0;21;620.0;26.0;195.0;34.0;17.0;141.0;1;6;4;13;2;0;0;0;0;0;0;0;68;14;1033.0;0;1;0;23
Graduate;30477.0;16;47.0;1.0;6.0;0.0;0.0;12.0;1;1;1;3;6;0;0;0;0;0;0;0;30;10;66.0;1;1;0;5
Basic;28249.0;80;1.0;9.0;7.0;2.0;14.0;10.0;1;2;0;3;6;0;0;0;0;0;0;0;53;5;43.0;0;1;0;5
Undergraduate;25271.0;45;10.0;1.0;18.0;10.0;4.0;7.0;1;1;1;2;9;0;0;0;0;0;0;0;31;31;50.0;1;1;0;4
